,close,value
2006-08-25 00:00:00,,21.949999999999999
2006-09-01 00:00:00,,21.940000000000001
2006-09-08 00:00:00,,20.600000000000001
2006-09-15 00:00:00,,19.620000000000001
2006-09-22 00:00:00,,19.07
2006-09-29 00:00:00,,20.300000000000001
2006-10-06 00:00:00,,20.100000000000001
2006-10-13 00:00:00,,20.829999999999998
2006-10-20 00:00:00,,20.550000000000001
2006-10-27 00:00:00,,21.530000000000001
2006-11-03 00:00:00,,21.600000000000001
2006-11-10 00:00:00,,22.670000000000002
2006-11-17 00:00:00,,21.75
2006-11-24 00:00:00,,22.149999999999999
2006-12-01 00:00:00,,22.649999999999999
2006-12-08 00:00:00,,23.579999999999998
2006-12-15 00:00:00,,23.620000000000001
2006-12-22 00:00:00,,24.079999999999998
2006-12-29 00:00:00,,24.899999999999999
2007-01-05 00:00:00,,23.09
2007-01-12 00:00:00,,22.579999999999998
2007-01-19 00:00:00,,22.59
2007-01-26 00:00:00,,23.25
2007-02-02 00:00:00,,23.649999999999999
2007-02-09 00:00:00,,22.399999999999999
2007-02-16 00:00:00,,22.170000000000002
2007-02-23 00:00:00,,22.719999999999999
2007-03-02 00:00:00,,20.530000000000001
2007-03-09 00:00:00,,21.25
2007-03-16 00:00:00,,20.109999999999999
2007-03-23 00:00:00,,22.039999999999999
2007-03-30 00:00:00,,23.07
2007-04-06 00:00:00,,23.100000000000001
2007-04-13 00:00:00,,23.850000000000001
2007-04-20 00:00:00,,23.5
2007-04-27 00:00:00,,23.050000000000001
2007-05-04 00:00:00,,23.010000000000002
2007-05-11 00:00:00,,22.609999999999999
2007-05-18 00:00:00,,23.25
2007-05-25 00:00:00,,23.350000000000001
2007-06-01 00:00:00,,23.550000000000001
2007-06-08 00:00:00,,23.699999999999999
2007-06-15 00:00:00,,25.379999999999999
2007-06-22 00:00:00,,25.66
2007-06-29 00:00:00,,25.82
2007-07-06 00:00:00,,27.370000000000001
2007-07-13 00:00:00,,27.920000000000002
2007-07-20 00:00:00,,28.289999999999999
2007-07-27 00:00:00,,25.530000000000001
2007-08-03 00:00:00,,25.25
2007-08-10 00:00:00,,24.690000000000001
2007-08-17 00:00:00,,23.199999999999999
2007-08-24 00:00:00,,24.879999999999999
2007-08-31 00:00:00,,26.100000000000001
2007-09-07 00:00:00,,27.039999999999999
2007-09-14 00:00:00,,27.149999999999999
2007-09-21 00:00:00,,29.25
2007-09-28 00:00:00,,29.600000000000001
2007-10-05 00:00:00,,30.829999999999998
2007-10-12 00:00:00,,32.369999999999997
2007-10-19 00:00:00,,31.5
2007-10-26 00:00:00,,35.549999999999997
2007-11-02 00:00:00,,35.719999999999999
2007-11-09 00:00:00,,40.829999999999998
2007-11-16 00:00:00,,39.399999999999999
2007-11-23 00:00:00,,38.25
2007-11-30 00:00:00,,35.950000000000003
2007-12-07 00:00:00,,40.030000000000001
2007-12-14 00:00:00,,40.600000000000001
2007-12-21 00:00:00,,42.509999999999998
2007-12-28 00:00:00,,44.200000000000003
2008-01-04 00:00:00,,40.700000000000003
2008-01-11 00:00:00,,40.780000000000001
2008-01-18 00:00:00,,35.899999999999999
2008-01-25 00:00:00,,38.369999999999997
2008-02-01 00:00:00,,40.850000000000001
2008-02-08 00:00:00,,40.899999999999999
2008-02-15 00:00:00,,41.399999999999999
2008-02-22 00:00:00,,42.149999999999999
2008-02-29 00:00:00,,40.719999999999999
2008-03-07 00:00:00,,39.079999999999998
2008-03-14 00:00:00,,38.369999999999997
2008-03-21 00:00:00,,34.700000000000003
2008-03-28 00:00:00,,36.310000000000002
2008-04-04 00:00:00,,39.5
2008-04-11 00:00:00,,39.280000000000001
2008-04-18 00:00:00,,42.649999999999999
2008-04-25 00:00:00,,42.149999999999999
2008-05-02 00:00:00,,43.0
2008-05-09 00:00:00,,45.670000000000002
2008-05-16 00:00:00,,48.149999999999999
2008-05-23 00:00:00,,50.560000000000002
2008-05-30 00:00:00,,49.0
2008-06-06 00:00:00,,47.590000000000003
2008-06-13 00:00:00,,45.899999999999999
2008-06-20 00:00:00,,43.130000000000003
2008-06-27 00:00:00,,45.299999999999997
2008-07-04 00:00:00,,43.200000000000003
2008-07-11 00:00:00,,40.600000000000001
2008-07-18 00:00:00,,38.200000000000003
2008-07-25 00:00:00,,34.5
2008-08-01 00:00:00,,34.509999999999998
2008-08-08 00:00:00,,33.549999999999997
2008-08-15 00:00:00,,32.670000000000002
2008-08-22 00:00:00,,35.289999999999999
